1.0.0	ACT I
2.3.191	Montano and myself being in speech, 
2.3.192	There comes a fellow crying out for help; 
2.3.193	And Cassio following him with determined sword, 
2.3.194	To execute upon him. Sir, this gentleman 
2.3.195	Steps in to Cassio, and entreats his pause: 
2.3.196	Myself the crying fellow did pursue, 
2.3.197	Lest by his clamor--as it so fell out-- 
2.3.198	The town might fall in fright: he, swift of foot, 
2.3.199	Outran my purpose; and I return'd the rather 
2.3.200	For that I heard the clink and fall of swords, 
2.3.201	And Cassio high in oath; which till to-night 
2.3.202	I ne'er might say before. When I came back-- 
2.3.203	For this was brief--I found them close together, 
2.3.204	At blow and thrust; even as again they were 
2.3.205	When you yourself did part them. 
2.3.206	More of this matter cannot I report: 
2.3.207	But men are men; the best sometimes forget: 
2.3.208	Though Cassio did some little wrong to him, 
2.3.209	As men in rage strike those that wish them best, 
2.3.210	Yet surely Cassio, I believe, received 
2.3.211	>From him that fled some strange indignity, 
2.3.212	Which patience, could not pass. 
2.3.213	I know, Iago, 
2.3.214	Thy honesty and love doth mince this matter, 
2.3.215	Making it light to Cassio. Cassio, I love thee; 
2.3.216	But never more be officer of mine. Re-enter DESDEMONA, attended. 
2.3.217	Look, if my gentle love be not raised up! 
2.3.218	I'll make thee an example. 
2.3.219	What's the matter? 
2.3.220	All's well now, sweeting; come away to bed. 
2.3.221	Sir, for your hurts, myself will be your surgeon: 
2.3.222	Lead him off. [To Montano, who is led off. 
2.3.223	Iago, look with care about the town, 
2.3.224	And silence those whom this vile brawl distracted. 
2.3.225	Come, Desdemona: 'tis the soldiers' life 
2.3.226	To have their balmy slumbers waked with strife. [Exeunt all but Iago and Cassio. 
2.3.227	What, are you hurt, lieutenant? 
2.3.228	Ay, past all surgery. 
2.3.229	Marry, heaven forbid! 
2.3.230	Reputation, reputation, reputation! O, I have lost my reputation! I have lost the immortal part of myself, and what remains is bestial. My reputation, Iago, my reputation! 
2.3.231	As I am an honest man, I thought you had received some bodily wound; there is more sense in that than in reputation. Reputation is an idle and most false imposition; oft got without merit, and lost without deserving: you have lost no reputation at all, unless you repute yourself such a loser. What, man! there are ways to recover the general again: you are but now cast in his mood, a punishment more in policy than in malice; even so as one would beat his offenceless dog to affright an imperious lion: sue to him again, and he's yours. 
2.3.232	I will rather sue to be despised than to deceive so good a commander with so slight, so drunken, and so indiscreet an officer. Drunk? and speak parrot? and squabble? swagger? swear? and discourse fustian with one's own shadow? O thou invisible spirit of wine, if thou hast no name to be known by, let us call thee devil! 
2.3.233	What was he that you followed with your sword? What had he done to you? 
2.3.234	I know not. 
2.3.235	Is't possible? 
2.3.236	I remember a mass of things, but nothing distinctly; a quarrel, but nothing wherefore. O God, that men should put an enemy in their mouths to steal away their brains! that we should, with joy, pleasance, revel and applause transform ourselves into beasts! 
2.3.237	Why, but you are now well enough: how came you thus recovered? 
2.3.238	It hath pleased the devil drunkenness to give place to the devil wrath: one unperfectness shows me another, to make me frankly despise myself. 
2.3.239	Come, you are too severe a moraler: as the time, the place, and the condition of this country stands, I could heartily wish this had not befallen; but, since it is as it is, mend it for your own good. 
2.3.240	I will ask him for my place again; he shall tell me I am a drunkard! Had I as many mouths as Hydra, such an answer would stop them all. To be now a sensible man, by and by a fool, and presently a beast! O strange! Every inordinate cup is unblessed and the ingredient is a devil. 
2.3.241	Come, come, good wine is a good familiar creature, if it be well used: exclaim no more against it. And, good lieutenant, I think you think I love you. 
2.3.242	I have well approved it, sir. I drunk! 
2.3.243	You or any man living may be drunk at a time, man. I'll tell you what you shall do. Our general's wife is now the general: I may say so in this respect, for that he hath devoted and given up himself to the contemplation, mark, and denotement of her parts and graces: confess yourself freely to her; importune her help to put you in your place again: she is of so free, so kind, so apt, so blessed a disposition, she holds it a vice in her goodness not to do more than she is requested: this broken joint between you and her husband entreat her to splinter; and, my fortunes against any lay worth naming, this crack of your love shall grow stronger than it was before. 
2.3.244	You advise me well. 
2.3.245	I protest, in the sincerity of love and honest kindness. 
2.3.246	I think it freely; and betimes in the morning I will beseech the virtuous Desdemona to undertake for me: I am desperate of my fortunes if they check me here. 
2.3.247	You are in the right. Good night. lieutenant; I must to the watch. 
2.3.248	Good night, honest Iago. [Exit. 
2.3.249	And what's he then that says I play the villain? 
2.3.250	When this advice is free I give and honest, 
2.3.251	Probal to thinking and indeed the course 
2.3.252	To win the Moor again? For 'tis most easy 
2.3.253	The inclining Desdemona to subdue 
2.3.254	In any honest suit: she's framed as fruitful 
2.3.255	As the free elements. And then for her 
2.3.256	To win the Moor--were't to renounce his baptism, 
2.3.257	All seals and symbols of redeemed sin, 
2.3.258	His soul is so enfetter'd to her love, 
2.3.259	That she may make, unmake, do what she list, 
2.3.260	Even as her appetite shall play the god 
2.3.261	With his weak function. How am I then a villain 
2.3.262	To counsel Cassio to this parallel course, 
2.3.263	Directly to his good? Divinity of hell! 
2.3.264	When devils will the blackest sins put on, 
2.3.265	They do suggest at first with heavenly shows, 
2.3.266	As I do now: for whiles this honest fool 
2.3.267	Plies Desdemona to repair his fortunes 
2.3.268	And she for him pleads strongly to the Moor, 
2.3.269	I'll pour this pestilence into his ear, 
2.3.270	That she repeals him for her body's lust; 
2.3.271	And by how much she strives to do him good, 
2.3.272	She shall undo her credit with the Moor, 
2.3.273	So will I turn her virtue into pitch, 
2.3.274	And out of her own goodness make the net 
2.3.275	That shall enmesh them all. Re-enter RODERIGO. 
2.3.276	How now, Roderigo! 
2.3.277	I do follow here in the chase, not like a hound that hunts, but one that fills up the cry. My money is almost spent; I have been to-night exceedingly well cudgelled; and I think the issue will be, I shall have so much experience for my pains, and so, with no money at all and a little more wit, return again to Venice. 
2.3.278	How poor are they that have not patience! 
2.3.279	What wound did ever heal but by degrees? 
2.3.280	Thou know'st we work by wit, and not by witchcraft; 
2.3.281	And wit depends on dilatory time. 
2.3.282	Does't not go well? Cassio hath beaten thee, 
2.3.283	And thou, by that small hurt, hast cashier'd Cassio: 
2.3.284	Though other things grow fair against the sun, 
2.3.285	Yet fruits that blossom first will first be ripe: 
2.3.286	Content thyself awhile. By the mass, 'tis morning; 
2.3.287	Pleasure and action make the hours seem short. 
2.3.288	Retire thee; go where thou art billeted: 
2.3.289	Away, I say; thou shalt know more hereafter: 
2.3.290	Nay, get thee gone. [Exit Roderigo.] Two things are to be done: 
2.3.291	My wife must move for Cassio to her mistress; 
2.3.292	I'll set her on; 
2.3.293	Myself the while to draw the Moor apart, 
2.3.294	And bring him jump when he may Cassio find 
2.3.295	Soliciting his wife: ay, that's the way: 
2.3.296	Dull not device by coldness and delay. [Exit.
3.0.0	ACT III
3.1.1	Before the Castle. 
3.1.2	Enter CASSIO and some Musicians. 
3.1.3	Masters, play here; I will content your pains; 
3.1.4	Something that's brief; and bid 'Good morrow, general.' Music. Enter Clown. 
3.1.5	Why, masters, have your instruments been in Naples, that they speak i' the nose thus? 
3.1.6	How, sir, how! 
3.1.7	Are these, I pray you, wind-instruments? 
3.1.8	Ay, marry, are they, sir. 
3.1.9	O, thereby hangs a tail. 
3.1.10	Whereby hangs a tale, sir? 
3.1.11	Marry, sir, by many a wind-instrument that I know. But, masters, here's money for you: and the general so likes your music, that he desires you, for love's sake, to make no more noise with it. 
3.1.12	Well, sir, we will not. 
3.1.13	If you have any music that may not be heard, to 't again: but, as they say, to hear music the general does not greatly care. 
3.1.14	We have none such, sir. 
3.1.15	Then put up your pipes in your bag, for I'll away: go; vanish into air; away! Exeunt Musicians. 
3.1.16	Dost thou hear, my honest friend? 
3.1.17	No, I hear not your honest friend; I hear you. 
3.1.18	Prithee, keep up thy quillets. There's a poor piece of gold for thee: if the gentlewoman that attends the general's wife be stirring, tell her there's one Cassio entreats her a little favour of speech: wilt thou do this? 
3.1.19	She is stirring, sir: if she will stir hither, I shall seem to notify unto her. 
3.1.20	Do, good my friend. Exit Clown. Enter IAGO. 
3.1.21	In happy time, Iago, 
3.1.22	You have not been a-bed, then? 
3.1.23	Why, no; the day had broke 
3.1.24	Before we parted. I have made bold, Iago, 
3.1.25	To send in to your wife: my suit to her 
3.1.26	Is, that she will to virtuous Desdemona 
3.1.27	Procure me some access. 
3.1.28	I'll send her to you presently; 
3.1.29	And I'll devise a mean to draw the Moor 
3.1.30	Out of the way, that your converse and business 
3.1.31	May be more free. 
3.1.32	I humbly thank you for't. Exit Iago. 
3.1.33	I never knew 
3.1.34	A Florentine more kind and honest. Enter EMILIA. 
3.1.35	Good morrow, good lieutenant: I am sorry 
3.1.36	For your displeasure; but all will sure be well. 
3.1.37	The general and his wife are talking of it; 
3.1.38	And she speaks for you stoutly: the Moor replies, 
3.1.39	That he you hurt is of great fame in Cyprus 
3.1.40	And great affinity and that in wholesome wisdom 
3.1.41	He might not but refuse you, but he protests he loves you 
3.1.42	And needs no other suitor but his likings 
3.1.43	To take the safest occasion by the front 
3.1.44	To bring you in again. 
3.1.45	Yet, I beseech you, 
3.1.46	If you think fit, or that it may be done, 
3.1.47	Give me advantage of some brief discourse 
3.1.48	With Desdemona alone. 
3.1.49	Pray you, come in: 
3.1.50	I will bestow you where you shall have time 
3.1.51	To speak your bosom freely. 
3.1.52	I am much bound to you. Exeunt.
3.2.1	A room in the castle. 
3.2.2	Enter OTHELLO, IAGO, and Gentlemen.
3.2.3	These letters give, Iago, to the pilot; 
3.2.4	And by him do my duties to the senate: 
3.2.5	That done, I will be walking on the works; 
3.2.6	Repair there to me. 
3.2.7	Well, my good lord, I'll do't. 
3.2.8	This fortification, gentlemen, shall we see 't? 
3.2.9	We'll wait upon your lordship. Exeunt.
3.3.1	The garden of the castle. 
3.3.2	Enter DESDEMONA, CASSIO, and EMILIA.
3.3.3	Be thou assured, good Cassio, I will do 
3.3.4	All my abilities in thy behalf. 
3.3.5	Good madam, do: I warrant it grieves my husband, 
3.3.6	As if the case were his. 
3.3.7	O, that's an honest fellow. Do not doubt, Cassio, 
3.3.8	But I will have my lord and you again 
3.3.9	As friendly as you were. 
3.3.10	Bounteous madam, 
3.3.11	Whatever shall become of Michael Cassio, 
3.3.12	He's never any thing but your true servant. 
3.3.13	I know't; I thank you. You do love my lord: 
3.3.14	You have known him long; and be you well assured 
3.3.15	He shall in strangeness stand no further off 
3.3.16	Than in a politic distance. 
3.3.17	Ay, but, lady, 
3.3.18	That policy may either last so long, 
3.3.19	Or feed upon such nice and waterish diet, 
3.3.20	Or breed itself so out of circumstance, 
3.3.21	That, I being absent and my place supplied, 
3.3.22	My general will forget my love and service. 
3.3.23	Do not doubt that; before Emilia here 
3.3.24	I give thee warrant of thy place: assure thee, 
3.3.25	If I do vow a friendship, I'll perform it 
3.3.26	To the last article: my lord shall never rest; 
3.3.27	I'll watch him tame and talk him out of patience; 
3.3.28	His bed shall seem a school, his board a shrift; 
3.3.29	I'll intermingle every thing he does 
3.3.30	With Cassio's suit: therefore be merry, Cassio; 
3.3.31	For thy solicitor shall rather die 
3.3.32	Than give thy cause away. 
3.3.33	Madam, here comes my lord. 
3.3.34	Madam, I'll take my leave. 
3.3.35	Why, stay, and hear me speak. 
3.3.36	Madam, not now: I am very ill at ease, 
3.3.37	Unfit for mine own purposes. 
3.3.38	Well, do your discretion. Exit Cassio. Enter OTHELLO and IAGO. 
3.3.39	Ha! I like not that. 
3.3.40	What dost thou say? 
3.3.41	Nothing, my lord: or if--I know not what. 
3.3.42	Was not that Cassio parted from my wife? 
3.3.43	Cassio, my lord! No, sure, I cannot think it, 
3.3.44	That he would steal away so guilty-like, 
3.3.45	Seeing you coming. 
3.3.46	I do believe 'twas he. 
3.3.47	How now, my lord! 
3.3.48	I have been talking with a suitor here, 
3.3.49	A man that languishes in your displeasure. 
3.3.50	Who is't you mean? 
3.3.51	Why, your lieutenant, Cassio. Good my lord, 
3.3.52	If I have any grace or power to move you, 
3.3.53	His present reconciliation take; 
3.3.54	For if he be not one that truly loves you, 
3.3.55	That errs in ignorance and not in cunning, 
3.3.56	I have no judgement in an honest face: 
3.3.57	I prithee, call him back. 
3.3.58	Went he hence now? 
3.3.59	Ay, sooth; so humbled 
3.3.60	That he hath left part of his grief with me, 
3.3.61	To suffer with him. Good love, call him back. 
3.3.62	Not now, sweet Desdemona; some other time. 
3.3.63	But shall 't be shortly? 
3.3.64	The sooner, sweet, for you. 
3.3.65	Shall't be to-night at supper? 
3.3.66	No, not to-night. 
3.3.67	To-morrow dinner, then? 
3.3.68	I shall not dine at home; 
3.3.69	I meet the captains at the citadel. 
3.3.70	Why, then, to-morrow night; or Tuesday morn; 
3.3.71	On Tuesday noon, or night; on Wednesday morn: 
3.3.72	I prithee, name the time, but let it not 
3.3.73	Exceed three days: in faith, he's penitent; 
3.3.74	And yet his trespass, in our common reason-- 
3.3.75	Save that, they say, the wars must make examples 
3.3.76	Out of their best--is not almost a fault 
3.3.77	To incur a private check. When shall he come? 
3.3.78	Tell me, Othello: I wonder in my soul, 
3.3.79	What you would ask me, that I should deny, 
3.3.80	Or stand so mammering on. What! Michael Cassio, 
3.3.81	That came a-wooing with you, and so many a time, 
3.3.82	When I have spoke of you dispraisingly, 
3.3.83	Hath ta'en your part; to have so much to do 
3.3.84	To bring him in! Trust me, I could do much,-- 
3.3.85	Prithee, no more: let him come when he will; 
3.3.86	I will deny thee nothing. 
3.3.87	Why, this is not a boon; 
3.3.88	'Tis as I should entreat you wear your gloves, 
3.3.89	Or feed on nourishing dishes, or keep you warm, 
3.3.90	Or sue to you to do a peculiar profit 
3.3.91	To your own person: nay, when I have a suit 
3.3.92	Wherein I mean to touch your love indeed, 
3.3.93	It shall be full of poise and difficult weight 
3.3.94	And fearful to be granted. 
3.3.95	I will deny thee nothing: 
3.3.96	Whereon, I do beseech thee, grant me this, 
3.3.97	To leave me but a little to myself. 
3.3.98	Shall I deny you? no: farewell, my lord. 
3.3.99	Farewell, my Desdemona: I'll come to thee straight. 
3.3.100	Emilia, come. Be as your fancies teach you; 
3.3.101	Whate'er you be, I am obedient. Exeunt Desdemona and Emilia. 
3.3.102	Excellent wretch! Perdition catch my soul, 
3.3.103	But I do love thee! and when I love thee not, 
3.3.104	Chaos is come again. 
3.3.105	My noble lord,-- 
3.3.106	What dost thou say, Iago? 
3.3.107	Did Michael Cassio, when you woo'd my lady, 
3.3.108	Know of your love? 
3.3.109	He did, from first to last: why dost thou ask? 
3.3.110	But for a satisfaction of my thought; 
3.3.111	No further harm. 
3.3.112	Why of thy thought, Iago? 
3.3.113	I did not think he had been acquainted with her. 
3.3.114	O, yes; and went between us very oft. 
3.3.115	Indeed! 
3.3.116	Indeed! ay, indeed: discern'st thou aught in that? 
3.3.117	Is he not honest? 
3.3.118	Honest, my lord! 
3.3.119	Honest! ay, honest. 
3.3.120	My lord, for aught I know. 
3.3.121	What dost thou think? 
3.3.122	Think, my lord! 
3.3.123	Think my lord! 
3.3.124	By heaven, he echoes me, 
3.3.125	As if there were some monster in his thought 
3.3.126	Too hideous to be shown. Thou dost mean something: 
3.3.127	I heard thee say even now, thou likedst not that, 
3.3.128	When Cassio left my wife: what didst not like? 
3.3.129	And when I told thee he was of my counsel 
3.3.130	In my whole course of wooing, thou criedst 'Indeed!' 
3.3.131	And didst contract and purse thy brow together, 
3.3.132	As if thou then hadst shut up in thy brain 
3.3.133	Some horrible conceit: if thou dost love me, 
3.3.134	Show me thy thought. 
3.3.135	My lord, you know I love you. 
3.3.136	I think thou dost; 
3.3.137	And, for I know thou'rt full of love and honesty, 
3.3.138	And weigh'st thy words before thou givest them breath, 
3.3.139	Therefore these stops of thine fright me the more: 
3.3.140	For such things in a false disloyal knave 
3.3.141	Are tricks of custom, but in a man that's just 
3.3.142	They are close delations, working from the heart 
3.3.143	That passion cannot rule. 
3.3.144	For Michael Cassio 
3.3.145	I dare be sworn I think that he is honest. 
3.3.146	I think so too. 
3.3.147	Men should be what they seem; 
3.3.148	Or those that be not, would they might seem none! 
3.3.149	Certain, men should be what they seem. 
3.3.150	Why, then, I think Cassio's an honest man. 
3.3.151	Nay, yet there's more in this: 
3.3.152	I prithee, speak to me as to thy thinkings, 
3.3.153	As thou dost ruminate, and give thy worst of thoughts 
3.3.154	The worst of words. 
3.3.155	Good my lord, pardon me: 
3.3.156	Though I am bound to every act of duty, 
3.3.157	I am not bound to that all slaves are free to. 
3.3.158	Utter my thoughts? Why, say they are vile and false; 
3.3.159	As where's that palace whereinto foul things 
3.3.160	Sometimes intrude not? who has a breast so pure, 
3.3.161	But some uncleanly apprehensions 
3.3.162	Keep leets and law-days and in session sit 
3.3.163	With meditations lawful? 
3.3.164	Thou dost conspire against thy friend, Iago, 
3.3.165	If thou but think'st him wrong'd and makest his ear 
3.3.166	A stranger to thy thoughts. 
3.3.167	I do beseech you-- 
3.3.168	Though I perchance am vicious in my guess, 
3.3.169	As, I confess, it is my nature's plague 
3.3.170	To spy into abuses, and oft my jealousy 
3.3.171	Shapes faults that are not--that your wisdom yet, 
3.3.172	From one that so imperfectly conceits, 
3.3.173	Would take no notice, nor build yourself a trouble 
3.3.174	Out of his scattering and unsure observance. 
3.3.175	It were not for your quiet nor your good, 
3.3.176	Nor for my manhood, honesty, or wisdom 
3.3.177	To let you know my thoughts. 
3.3.178	What dost thou mean? 
3.3.179	Good name in man and woman, dear my lord, 
3.3.180	Is the immediate jewel of their souls: 
3.3.181	Who steals my purse steals trash; 'tis something, nothing; 
3.3.182	'Twas mine, 'tis his, and has been slave to thousands; 
3.3.183	But he that filches from me my good name 
3.3.184	Robs me of that which not enriches him 
3.3.185	And makes me poor indeed. 
3.3.186	By heaven, I'll know thy thoughts. 
3.3.187	You cannot, if my heart were in your hand; 
3.3.188	Nor shall not, whilst 'tis in my custody. 
3.3.189	Ha! 
3.3.190	O, beware, my lord, of jealousy; 
3.3.191	It is the green-eyed monster which doth mock 
3.3.192	The meat it feeds on: that cuckold lives in bliss 
3.3.193	Who, certain of his fate, loves not his wronger; 
3.3.194	But, O, what damned minutes tells he o'er 
3.3.195	Who dotes, yet doubts, suspects, yet strongly loves! 
3.3.196	O misery! 
3.3.197	Poor and content is rich and rich enough, 
3.3.198	But riches fineless is as poor as winter 
3.3.199	To him that ever fears he shall be poor. 
3.3.200	Good heaven, the souls of all my tribe defend 
3.3.201	From jealousy! 
3.3.202	Why, why is this? 
3.3.203	Think'st thou I'ld make a life of jealousy, 
3.3.204	To follow still the changes of the moon 
3.3.205	With fresh suspicions? No; to be once in doubt 
3.3.206	Is once to be resolved: exchange me for a goat, 
3.3.207	When I shall turn the business of my soul 
3.3.208	To such exsufflicate and blown surmises, 
3.3.209	Matching thy inference. 'Tis not to make me jealous 
3.3.210	To say my wife is fair,--feeds well, loves company, 
3.3.211	Is free of speech, sings, plays and dances well; 
3.3.212	Where virtue is, these are more virtuous: 
3.3.213	Nor from mine own weak merits will I draw 
3.3.214	The smallest fear or doubt of her revolt; 
3.3.215	For she had eyes, and chose me. No, Iago; 
3.3.216	I'll see before I doubt; when I doubt, prove; 
3.3.217	And on the proof, there is no more but this,-- 
3.3.218	Away at once with love or jealousy! 
3.3.219	I am glad of it; for now I shall have reason 
3.3.220	To show the love and duty that I bear you 
3.3.221	With franker spirit: therefore, as I am bound, 
3.3.222	Receive it from me. I speak not yet of proof. 
3.3.223	Look to your wife; observe her well with Cassio; 
3.3.224	Wear your eye thus, not jealous nor secure: 
3.3.225	I would not have your free and noble nature, 
3.3.226	Out of self-bounty, be abused; look to't: 
3.3.227	I know our country disposition well; 
3.3.228	In Venice they do let heaven see the pranks 
3.3.229	They dare not show their husbands; their best conscience 
3.3.230	Is not to leave 't undone, but keep't unknown. 
3.3.231	Dost thou say so? 
3.3.232	She did deceive her father, marrying you; 
3.3.233	And when she seem'd to shake and fear your looks, 
3.3.234	She loved them most. 
3.3.235	And so she did. 
3.3.236	Why, go to then; 
3.3.237	She that, so young, could give out such a seeming, 
3.3.238	To seel her father's eyes up close as oak-- 
3.3.239	He thought 'twas witchcraft--but I am much to blame; 
3.3.240	I humbly do beseech you of your pardon 
3.3.241	For too much loving you. 
3.3.242	I am bound to thee for ever. 
3.3.243	I see this hath a little dash'd your spirits. 
3.3.244	Not a jot, not a jot. 
3.3.245	I' faith, I fear it has. 
3.3.246	I hope you will consider what is spoke 
3.3.247	Comes from my love. But I do see you're moved: 
3.3.248	I am to pray you not to strain my speech 
3.3.249	To grosser issues nor to larger reach 
3.3.250	Than to suspicion. 
3.3.251	I will not. 
3.3.252	Should you do so, my lord, 
3.3.253	My speech should fall into such vile success 
3.3.254	As my thoughts aim not at. Cassio's my worthy friend-- 
3.3.255	My lord, I see you're moved. 
3.3.256	No, not much moved: 
3.3.257	I do not think but Desdemona's honest. 
3.3.258	Long live she so! and long live you to think so! 
3.3.259	And yet, how nature erring, from itself,-- 
3.3.260	Ay, there's the point: as--to be bold with you-- 
3.3.261	Not to affect many proposed matches 
3.3.262	Of her own clime, complexion, and degree, 
3.3.263	Whereto we see in all things nature tends- 
3.3.264	Foh! one may smell in such a will most rank, 
3.3.265	Foul disproportion, thoughts unnatural. 
3.3.266	But pardon me; I do not in position 
3.3.267	Distinctly speak of her; though I may fear 
3.3.268	Her will, recoil ng to her better judgement, 
3.3.269	May fall to match you with her country forms 
3.3.270	And happily repent. 
3.3.271	Farewell, farewell: 
3.3.272	If more thou dost perceive, let me know more; 
3.3.273	Set on thy wife to observe: leave me, Iago.
3.3.274	Going
3.3.275	My lord, I take my leave. 
3.3.276	Why did I marry? This honest creature doubtless 
3.3.277	Sees and knows more, much more, than he unfolds.
3.3.278	Returning
3.3.279	My lord, I would I might entreat your honour 
3.3.280	To scan this thing no further; leave it to time: 
3.3.281	Though it be fit that Cassio have his place, 
3.3.282	For, sure, he fills it up with great ability, 
3.3.283	Yet, if you please to hold him off awhile, 
3.3.284	You shall by that perceive him and his means: 
3.3.285	Note, if your lady strain his entertainment 
3.3.286	With any strong or vehement importunity; 
3.3.287	Much will be seen in that. In the mean time, 
3.3.288	Let me be thought too busy in my fears-- 
3.3.289	As worthy cause I have to fear I am-- 
3.3.290	And hold her free, I do beseech your honour. 
3.3.291	Fear not my government. 
3.3.292	I once more take my leave. Exit. 
3.3.293	This fellow's of exceeding honesty, 
3.3.294	And knows all qualities, with a learned spirit, 
3.3.295	Of human dealings. If I do prove her haggard, 
3.3.296	Though that her jesses--were my dear heartstrings, 
3.3.297	I'ld whistle her off and let her down the wind, 
3.3.298	To prey at fortune. Haply, for I am black 
3.3.299	And have not those soft parts of conversation 
3.3.300	That chamberers have, or for I am declined 
3.3.301	Into the vale of years,--yet that's not much-- 
3.3.302	She's gone. I am abused; and my relief 
3.3.303	Must be to loathe her. O curse of marriage, 
3.3.304	That we can call these delicate creatures ours, 
3.3.305	And not their appetites! I had rather be a toad, 
3.3.306	And live upon the vapour of a dungeon, 
3.3.307	Than keep a corner in the thing I love 
3.3.308	For others' uses. Yet, 'tis the plague of great ones; 
3.3.309	Prerogatived are they less than the base; 
3.3.310	'Tis destiny unshunnable, like death: 
3.3.311	Even then this forked plague is fated to us 
3.3.312	When we do quicken. Desdemona comes: Re-enter DESDEMONA and EMILIA. 
3.3.313	If she be false, O, then heaven mocks itself! 
3.3.314	I'll not believe 't. 
3.3.315	How now, my dear Othello! 
3.3.316	Your dinner, and the generous islanders 
3.3.317	By you invited, do attend your presence. 
3.3.318	I am to blame. 
3.3.319	Why do you speak so faintly? 
3.3.320	Are you not well? 
3.3.321	I have a pain upon my forehead here. 
3.3.322	'Faith, that's with watching; 'twill away again: 
3.3.323	Let me but bind it hard, within this hour 
3.3.324	It will be well. 
3.3.325	Your napkin is too little: He puts the handkerchief from him; and it drops. 
3.3.326	Let it alone. Come, I'll go in with you. 
3.3.327	I am very sorry that you are not well. Exeunt Othello and Desdemona. 
3.3.328	I am glad I have found this napkin: 
3.3.329	This was her first remembrance from the Moor: 
3.3.330	My wayward husband hath a hundred times 
3.3.331	Woo'd me to steal it; but she so loves the token, 
3.3.332	For he conjured her she should ever keep it, 
3.3.333	That she reserves it evermore about her 
3.3.334	To kiss and talk to. I'll have the work ta'en out, 
3.3.335	And give't Iago: what he will do with it 
3.3.336	Heaven knows, not I; 
3.3.337	I nothing but to please his fantasy. Re-enter IAGO. 
3.3.338	How now! what do you here alone? 
3.3.339	Do not you chide; I have a thing for you. 
3.3.340	A thing for me? it is a common thing-- 
3.3.341	Ha! 
3.3.342	To have a foolish wife. 
3.3.343	O, is that all? What will you give me now 
3.3.344	For that same handkerchief? 
3.3.345	What handkerchief? 
3.3.346	What handkerchief! 
3.3.347	Why, that the Moor first gave to Desdemona; 
3.3.348	That which so often you did bid me steal. 
3.3.349	Hast stol'n it from her? 
3.3.350	No, 'faith; she let it drop by negligence, 
3.3.351	And, to the advantage, I, being here, took 't up. 
3.3.352	Look, here it is. 
3.3.353	A good wench; give it me. 
3.3.354	What will you do with't, that you have been so earnest 
3.3.355	To have me filch it?
3.3.356	Snatching it
3.3.357	Why, what's that to you? 
3.3.358	If it be not for some purpose of import, 
3.3.359	Give't me again: poor lady, she'll run mad 
3.3.360	When she shall lack it. 
3.3.361	Be not acknown on't; I have use for it. 
3.3.362	Go, leave me. Exit Emilia. 
3.3.363	I will in Cassio's lodging lose this napkin, 
3.3.364	And let him find it. Trifles light as air 
3.3.365	Are to the jealous confirmations strong 
3.3.366	As proofs of holy writ: ths may do something. 
3.3.367	The Moor already changes with my poison: 
3.3.368	Dangerous conceits are, in their natures, poisons, 
3.3.369	Which at the first are scarce found to distaste, 
3.3.370	But with a little act upon the blood, 
3.3.371	Burn like the mines of sulphur. I did say so: 
3.3.372	Look, where he comes! Re-enter OTHELLO. 
3.3.373	Not poppy, nor mandragora, 
3.3.374	Nor all the drowsy syrups of the world, 
3.3.375	Shall ever medicine thee to that sweet sleep 
3.3.376	Which thou owedst yesterday. 
3.3.377	Ha! ha! false to me? 
3.3.378	Why, how now, general! no more of that. 
3.3.379	Avaunt! be gone! thou hast set me on the rack: 
3.3.380	I swear 'tis better to be much abused 
3.3.381	Than but to know't a little. 
3.3.382	How now, my lord! 
3.3.383	What sense had I of her stol'n hours of lust? 
3.3.384	I saw 't not, thought it not, it harm'd not me: 
3.3.385	I slept the next night well, was free and merry; 
3.3.386	I found not Cassio's kisses on her lips: 
3.3.387	He that is robb'd, not wanting what is stol'n, 
3.3.388	Let him not know 't, and he 's not robb'd at all. 
3.3.389	I am sorry to hear this. 
3.3.390	I had been happy, if the general camp, 
3.3.391	Pioners and all, had tasted her sweet body, 
3.3.392	So I had nothing known. O, now, for ever 
3.3.393	Farewell the tranquil mind! farewell content! 
3.3.394	Farewell the plumed troop, and the big wars, 
3.3.395	That make ambition virtue! O, farewell! 
3.3.396	Farewell the neighing steed, and the shrill trump, 
3.3.397	The spirit-stirring drum, the ear-piercing fife, 
3.3.398	The royal banner, and all quality, 
3.3.399	Pride, pomp and circumstance of glorious war! 
3.3.400	And, O you mortal engines, whose rude throats 
3.3.401	The immortal Jove's dread clamours counterfeit, 
3.3.402	Farewell! Othello's occupation's gone! 
3.3.403	Is't possible, my lord? 
3.3.404	Villain, be sure thou prove my love a whore, 
3.3.405	Be sure of it; give me the ocular proof; 
3.3.406	Or, by the worth of man's eternal soul, 
3.3.407	Thou hadst been better have been born a dog 
3.3.408	Than answer my waked wrath! 
3.3.409	Is 't come to this? 
3.3.410	Make me to see't; or, at the least, so prove it, 
3.3.411	That the probation bear no hinge nor loop 
3.3.412	To hang a doubt on; or woe upon thy life! 
3.3.413	My noble lord,-- 
3.3.414	If thou dost slander her and torture me, 
3.3.415	Never pray more; abandon all remorse; 
3.3.416	On horror's head horrors accumulate; 
3.3.417	Do deeds to make heaven weep, all earth amazed; 
3.3.418	For nothing canst thou to damnation add 
3.3.419	Greater than that. 
3.3.420	O grace! O heaven forgive me! 
3.3.421	Are you a man? have you a soul or sense? 
